Fecha,Turno,Equipo,Cab_Au,Cab_Ag,Cab_Pb,Cab_Zn,Cab_Cu,Cab_Fe,Conc_Pb_Au,Conc_Pb_Ag,Conc_Pb_Pb,Conc_Pb_Zn,Conc_Pb_Cu,Conc_Pb_Fe,Conc_Pb_Ins,Col_Pb_Au,Col_Pb_Ag,Col_Pb_Pb,Col_Pb_Zn,Col_Pb_Cu,Conc_Zn_Au,Conc_Zn_Ag,Conc_Zn_Pb,Conc_Zn_Zn,Conc_Zn_Cu,Conc_Zn_Fe,Conc_Zn_Ins,Col_Zn_Au,Col_Zn_Ag,Col_Zn_Pb,Col_Zn_Zn,Col_Zn_Cu,Col_Zn_Fe,k80_Cab
01/01/2023 07:00,1,A,0.3465,86.5684,1.0205,3.2444,0.0614,4.8126,8.6639,2101.5249,30.4438,11.1973,2.3731,8.6462,16.0289,0.1337,21.268,0.0765,3.1638,0.0613,0.9448,220.5594,1.4239,48.9477,0.8633,10.5125,2.9357,0.1734,23.0134,0.1117,0.3503,0.0094,3.7244,51.7602
01/01/2023 19:00,2,B,0.8414,144.3377,2.1243,5.1358,0.1536,5.8167,10.4755,2937.8006,45.9526,8.9868,2.4133,6.8384,9.8114,0.2646,27.0155,0.2336,4.4896,0.0685,0.6023,149.9186,1.558,53.7609,0.857,11.0886,2.5235,0.2997,37.7133,0.2704,0.9945,0.0153,4.7683,59.7313
02/01/2023 07:00,1,A,0.1763,86.1616,0.7004,1.9322,0.0498,3.6183,6.0021,3883.5074,33.5458,15.3101,2.8099,8.447,14.6914,0.1057,16.1126,0.0687,0.8983,0.0113,0.7015,262.3077,1.8915,48.4751,1.0119,7.8683,6.0616,0.09,21.4206,0.1134,0.2052,0.0021,3.413,53.0979
02/01/2023 19:00,2,B,0.6857,62.7595,2.0104,5.053,0.1534,5.2089,8.6823,1466.2339,41.7293,12.5925,3.1384,8.3621,10.2127,0.1709,14.2818,0.3719,4.09,0.0679,0.7861,84.7069,1.0365,53.514,0.7163,10.7152,1.6999,0.2224,17.4187,0.4317,1.0475,0.018,4.8082,54.3258
03/01/2023 07:00,1,A,0.2625,130.213,0.8443,1.3732,0.0794,4.6958,9.7558,4057.0847,35.3403,8.4594,2.9583,8.9072,14.8166,0.093,18.414,0.2022,1.0923,0.0187,0.9062,304.577,0.9835,50.9138,0.727,7.1667,2.9127,0.0947,27.8087,0.2113,0.204,0.004,4.0439,
03/01/2023 19:00,2,B,0.3827,88.0412,0.9552,2.551,0.0951,5.23,6.3117,3027.397,32.6009,17.1666,2.3872,10.153,11.7868,0.1354,17.9295,0.1422,2.2304,0.0406,0.748,244.4684,1.9644,54.4345,0.6372,8.1153,1.4735,0.1645,26.2338,0.2158,0.4951,0.0122,4.9524,56.1499
04/01/2023 07:00,1,A,0.4539,92.9963,1.523,3.4224,0.1417,6.1426,10.1438,2344.764,40.2124,11.3549,1.8847,8.0583,11.2461,0.129,18.3873,0.2516,3.1234,0.07,1.0551,241.175,2.4171,50.313,0.9886,10.3936,2.9965,0.1356,23.6014,0.3403,0.7249,0.0293,5.4254,55.1352
04/01/2023 19:00,2,B,0.2118,81.7562,0.8849,1.9106,0.0474,5.2452,6.9694,3102.7548,36.0674,8.9814,2.3361,7.9635,12.8482,0.0683,14.4837,0.1336,1.7273,0.0265,0.6712,228.2293,2.1959,52.0806,0.9109,8.7501,2.4825,0.0958,21.3643,0.2146,0.3956,0.0114,4.6855,58.5577
05/01/2023 07:00,1,C,0.3866,99.2307,1.456,3.4732,0.1464,4.6627,7.2634,2405.8955,38.1046,15.6849,2.8061,9.0041,14.4896,0.1051,14.0386,0.1767,2.5755,0.0321,0.6626,244.9803,1.3448,47.6425,0.749,10.8518,4.4372,0.1247,22.0646,0.2237,0.4847,0.0134,4.4765,58.274
05/01/2023 19:00,2,D,0.5331,49.3805,1.8698,4.4031,0.1563,5.4301,11.0802,1854.2283,39.5133,9.5022,3.522,10.5943,8.1938,0.2012,20.5951,0.3586,4.1272,0.0656,1.0542,176.5057,2.2015,52.7965,0.8024,9.476,1.378,0.2373,21.3079,0.4063,0.7249,0.0219,4.7972,54.1422
06/01/2023 07:00,1,C,0.2872,54.8375,0.8448,2.3867,0.0887,4.0607,8.4389,1336.0101,34.1699,9.2822,3.6319,7.3215,13.7736,0.0969,10.0768,0.1526,2.6283,0.0318,0.9706,201.7024,2.2579,53.9596,1.1446,8.4067,1.5998,0.1104,14.371,0.1586,0.273,0.0091,4.2146,54.7532
06/01/2023 19:00,2,D,0.5349,113.8417,0.9257,1.944,0.0809,4.7935,10.0139,3338.2847,33.2691,16.4224,1.8535,7.8138,14.8305,0.1101,17.3888,0.0756,2.0097,0.0257,0.634,208.5421,1.2137,54.5764,0.6615,9.4965,2.4688,0.173,23.5148,0.1409,0.2156,0.0,4.4206,49.3518
